RNA.1	RNA.2	RNA.3	RNA.4	RNA.8	RNA.11	RNA.12	RNA.15	RNA.16	RNA.17	RNA.19	RNA.20
Eddm3b	0	0	0	0	0	0	0	0	0	0	0	0
Rnase6	0	0	0	0	0	0	0	0	0	0	0	0
1810028F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
Rnase1	0	0	0	0	0	0	0	0	0	0	0	0
Rnase2b	0	0	0	0	0	0	0	0	0	0	0	0
Ang2	0	0	0	0	0	0	0	0	0	0	0	0
Ear14	0	0	0	0	0	0	0	0	0	0	0	0
Rnase2a	0	0	0	0	0	0	0	0	0	0	0	0
Gm21718	0	0	0	0	0	0	0	0	0	0	0	0
AC125117.1	0	0	0	0	0	0	0	0	0	0	0	0
Gm7247	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r89	0	0	0	0	0	0	0	0	0	0	0	0
Gm5622	0	0	0	0	0	0	0	0	0	0	0	0
Gm17175	0	0	0	0	0	0	0	0	0	0	0	0
Gm17174	0	0	0	0	0	0	0	0	0	0	0	0
Gm17078	0	0	0	0	0	0	0	0	0	0	0	0
Gm4181	0	0	0	0	0	0	0	0	0	0	0	0
Gm17079	0	0	0	0	0	0	0	0	0	0	0	0
Gm5800	0	0	0	0	0	0	0	0	0	0	0	0
Ang4	0	0	0	0	0	0	0	0	0	0	0	0
AY358078	0	0	0	0	0	0	0	0	0	0	0	0
Ear6	0	0	0	0	0	0	0	0	0	0	0	0
Mettl17	0.114285714285714	0	1	0	0	0	0	0	0	0	0.2	0
Slc39a2	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg2	2.71428571428571	1.33333333333333	1	6	2	0	1	0	0	2	1.8	0
Tppp2	0	0	0	0	0	0	0	0	0	0	0	0
Rnase13	0	0	0	0	0	0	0	0	0	0	0	0
Gm49076	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef40	0.342857142857143	0.333333333333333	0	1	0.5	0	1	0	0	0.5	0.6	1
Gm16617	0	0	0	0	0	0	0	0	0	0	0	0
Zfp219	0.0571428571428571	0.333333333333333	0	0	0	0	1	0	0	0	0	0
Tmem253	0	0	0	0	0	0	0	0	0	0	0	0
Gm49086	0	0	0	0	0	0	0	0	0	0	0	0
Gm49256	0	0	0	0	0	0	0	0	0	0	0	0
Olfr221	0	0	0	0	0	0	0	0	0	0	0	0
Hnrnpc	1.65714285714286	2	1	1	2	6	1	2	1	2.5	1.7	4
Rpgrip1	0	0	0	0	0.5	0	0	0	0	0	0	0
Supt16	0.828571428571429	1	2.5	0	1.5	0	1	0.5	1	1.5	0.7	6
Gm26590	0	0	0	0	0	0	0	0	0	0	0	0
Chd8	0.285714285714286	0	1	1	0	2	2	0.5	1	0	0.4	1
Rab2b	0.257142857142857	0.333333333333333	0	1	0.5	0	0	0	0	0	0.3	0
Tox4	0.542857142857143	0.333333333333333	0	0	0	1	0	0	0	1	0.4	0
Mettl3	0.142857142857143	0	0	1	0.5	1	0	0	0	0.5	0.1	0
Sall2	0.0571428571428571	0	0	1	0	0	0	0	0	0	0	0
Olfr1513	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1512	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1511	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1510	0	0	0	0	0	0	0	0	0	0	0	0
Trav1	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1509	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1508	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1507	0	0	0	0	0	0	0	0	0	0	0	0
Trav2	0	0	0	0	0	0	0	0	0	0	0	0
Trav3-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav4-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav5-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav7d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav4d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav6d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav7d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav6d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav7d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav8d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav9d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav6d-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav10d	0	0	0	0	0	0	0	0	0	0	0	0
Trav6d-6	0	0	0	0	0	0	0	0	0	0	0	0
Trav11d	0	0	0	0	0	0	0	0	0	0	0	0
Trav7d-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav12d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav13d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav14d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav15d-1-dv6d-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav3d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav9d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav4d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav5d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav12d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav9d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav5d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav12d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav13d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav14d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav15d-2-dv6d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav3d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav9d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav4d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav5d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav6d-7	0	0	0	0	0	0	0	0	0	0	0	0
C920008G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm30214	0	0	0	0	0	0	0	0	0	0	0	0
Trav13d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav8d-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav16d-dv11	0	0	0	0	0	0	0	0	0	0	0	0
Trav13d-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav14d-3-dv8	0	0	0	0	0	0	0	0	0	0	0	0
Trav15d-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav7n-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav9n-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav6n-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav10n	0	0	0	0	0	0	0	0	0	0	0	0
Trav6n-6	0	0	0	0	0	0	0	0	0	0	0	0
Trav11n	0	0	0	0	0	0	0	0	0	0	0	0
Trav7n-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav12n-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav13n-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav14n-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav15n-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav3n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav9n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav4n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav5n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav12n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav9n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav5n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav12n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav13n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav14n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav15n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav3n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav9n-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav4n-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav5n-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav6n-7	0	0	0	0	0	0	0	0	0	0	0	0
Trav7n-6	0	0	0	0	0	0	0	0	0	0	0	0
Gm43650	0	0	0	0	0	0	0	0	0	0	0	0
Trav13n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav8n-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav16n	0	0	0	0	0	0	0	0	0	0	0	0
Trav13n-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav14n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav15n-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav4-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav8-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav9-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav10	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-6	0	0	0	0	0	0	0	0	0	0	0	0
Trav11	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-5	0	0	0	0	0	0	0	0	0	0	0	0
Trav12-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav13-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav14-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav15-1-dv6-1	0	0	0	0	0	0	0	0	0	0	0	0
Trav3-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav9-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav4-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav5-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav12-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav12-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav13-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav14-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav15-2-dv6-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav3-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav9-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav4-4-dv10	0	0	0	0	0	0	0	0	0	0	0	0
Trav5-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav6-7-dv9	0	0	0	0	0	0	0	0	0	0	0	0
Trav7-6	0	0	0	0	0	0	0	0	0	0	0	0
Trav13-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav8-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav16	0	0	0	0	0	0	0	0	0	0	0	0
Trav13-4-dv7	0	0	0	0	0	0	0	0	0	0	0	0
Trav14-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav15-3	0	0	0	0	0	0	0	0	0	0	0	0
Trav3-4	0	0	0	0	0	0	0	0	0	0	0	0
Trav12-4	0	0	0	0	0	0	0	0	0	0	0	0
B230359F08Rik	0	0	0	0	0	0	0	0	0	0	0	0
Trav17	0	0	0	0	0	0	0	0	0	0	0	0
Trav18	0	0	0	0	0	0	0	0	0	0	0	0
Trav19	0	0	0	0	0	0	0	0	0	0	0	0
Trav20	0	0	0	0	0	0	0	0	0	0	0	0
Trav21-dv12	0	0	0	0	0	0	0	0	0	0	0	0
Trdv1	0	0	0	0	0	0	0	0	0	0	0	0
Gm43647	0	0	0	0	0	0	0	0	0	0	0	0
Trav22	0	0	0	0	0	0	0	0	0	0	0	0
Trdv2-1	0	0	0	0	0	0	0	0	0	0	0	0
Trdv2-2	0	0	0	0	0	0	0	0	0	0	0	0
Trav23	0	0	0	0	0	0	0	0	0	0	0	0
Trdv3	0	0	0	0	0	0	0	0	0	0	0	0
Gm30275	0	0	0	0	0	0	0	0	0	0	0	0
Trdv4	0	0	0	0	0	0	0	0	0	0	0	0
Trdd1	0	0	0	0	0	0	0	0	0	0	0	0
Trdd2	0	0	0	0	0	0	0	0	0	0	0	0
Trdj1	0	0	0	0	0	0	0	0	0	0	0	0
Gm43434	0	0	0	0	0	0	0	0	0	0	0	0
Trdj2	0	0	0	0	0	0	0	0	0	0	0	0
Trdc	0	0	0	0	0	0	0	0	0	0	0	0
Trdv5	0	0	0	0	0	0	0	0	0	0	0	0
Traj61	0	0	0	0	0	0	0	0	0	0	0	0
Traj60	0	0	0	0	0	0	0	0	0	0	0	0
Traj59	0	0	0	0	0	0	0	0	0	0	0	0
Traj58	0	0	0	0	0	0	0	0	0	0	0	0
Traj57	0	0	0	0	0	0	0	0	0	0	0	0
Traj56	0	0	0	0	0	0	0	0	0	0	0	0
Traj55	0	0	0	0	0	0	0	0	0	0	0	0
Traj54	0	0	0	0	0	0	0	0	0	0	0	0
Traj53	0	0	0	0	0	0	0	0	0	0	0	0
Traj52	0	0	0	0	0	0	0	0	0	0	0	0
Traj51	0	0	0	0	0	0	0	0	0	0	0	0
Traj50	0	0	0	0	0	0	0	0	0	0	0	0
Traj49	0	0	0	0	0	0	0	0	0	0	0	0
Traj48	0	0	0	0	0	0	0	0	0	0	0	0
Traj47	0	0	0	0	0	0	0	0	0	0	0	0
Traj46	0	0	0	0	0	0	0	0	0	0	0	0
Traj45	0	0	0	0	0	0	0	0	0	0	0	0
Traj44	0	0	0	0	0	0	0	0	0	0	0	0
Traj43	0	0	0	0	0	0	0	0	0	0	0	0
Traj42	0	0	0	0	0	0	0	0	0	0	0	0
Traj41	0	0	0	0	0	0	0	0	0	0	0	0
Traj40	0	0	0	0	0	0	0	0	0	0	0	0
Traj39	0	0	0	0	0	0	0	0	0	0	0	0
Traj38	0	0	0	0	0	0	0	0	0	0	0	0
Traj37	0	0	0	0	0	0	0	0	0	0	0	0
Traj36	0	0	0	0	0	0	0	0	0	0	0	0
Traj35	0	0	0	0	0	0	0	0	0	0	0	0
Traj34	0	0	0	0	0	0	0	0	0	0	0	0
Traj33	0	0	0	0	0	0	0	0	0	0	0	0
Traj32	0	0	0	0	0	0	0	0	0	0	0	0
Traj31	0	0	0	0	0	0	0	0	0	0	0	0
Traj30	0	0	0	0	0	0	0	0	0	0	0	0
Traj29	0	0	0	0	0	0	0	0	0	0	0	0
Traj28	0	0	0	0	0	0	0	0	0	0	0	0
Traj27	0	0	0	0	0	0	0	0	0	0	0	0
Traj26	0	0	0	0	0	0	0	0	0	0	0	0
Traj25	0	0	0	0	0	0	0	0	0	0	0	0
Traj24	0	0	0	0	0	0	0	0	0	0	0	0
Traj23	0	0	0	0	0	0	0	0	0	0	0	0
Traj22	0	0	0	0	0	0	0	0	0	0	0	0
Traj21	0	0	0	0	0	0	0	0	0	0	0	0
Traj20	0	0	0	0	0	0	0	0	0	0	0	0
Traj19	0	0	0	0	0	0	0	0	0	0	0	0
Traj18	0	0	0	0	0	0	0	0	0	0	0	0
Traj17	0	0	0	0	0	0	0	0	0	0	0	0
Traj16	0	0	0	0	0	0	0	0	0	0	0	0
Traj15	0	0	0	0	0	0	0	0	0	0	0	0
Traj14	0	0	0	0	0	0	0	0	0	0	0	0
Traj13	0	0	0	0	0	0	0	0	0	0	0	0
Traj12	0	0	0	0	0	0	0	0	0	0	0	0
Traj11	0	0	0	0	0	0	0	0	0	0	0	0
Traj9	0	0	0	0	0	0	0	0	0	0	0	0
Traj8	0	0	0	0	0	0	0	0	0	0	0	0
Traj7	0	0	0	0	0	0	0	0	0	0	0	0
Traj6	0	0	0	0	0	0	0	0	0	0	0	0
Traj5	0	0	0	0	0	0	0	0	0	0	0	0
Traj4	0	0	0	0	0	0	0	0	0	0	0	0
Traj3	0	0	0	0	0	0	0	0	0	0	0	0
Traj2	0	0	0	0	0	0	0	0	0	0	0	0
Traj1	0	0	0	0	0	0	0	0	0	0	0	0
Trac	1.05714285714286	0.333333333333333	1	0	1.5	3	1	0	0	0.5	0.1	0
Dad1	3	2.33333333333333	0	4	2	3	2	1.5	6	1	1.7	2
Abhd4	0.2	0	0	0	0.5	1	0	0	0	0	0.2	0
Olfr49	0	0	0	0	0	0	0	0	0	0	0	0
5330426L24Rik	0	0	0	0	0	0	0	0	0	0	0	0
Oxa1l	0.371428571428571	0	0	1	0.5	0	0	0.5	0	0	0.3	0
Slc7a7	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Mrpl52	2.34285714285714	1	0.5	0	2	5	1	0.5	0	0	1.8	2
Mmp14	1.91428571428571	1.66666666666667	0	5	1	8	5	1.5	1	3.5	1.7	5
Gm10366	0	0	0	0	0	0	0	0	0	0	0	0
Lrp10	0.485714285714286	0.333333333333333	0	0	0	0	0	0	0	0.5	0.5	0
Rem2	0	0	0	0	0	0	0	0	0	0	0	0
Prmt5	0.171428571428571	0	1	0	0	0	0	0	0	0	0.4	0
Haus4	0.371428571428571	0.333333333333333	0	0	0	0	0	0	1	0.5	0.1	2
Ajuba	0.485714285714286	0.333333333333333	0	0	0.5	2	1	0.5	0	1	0.5	0
4931414P19Rik	0.0285714285714286	0.666666666666667	0	0	0	0	0	0	0	0	0	0
Psmb5	2.62857142857143	1	1	1	2	2	5	1.5	0	2.5	1.6	4
Psmb11	0	0	0	0	0	0	0	0	0	0	0	0
Cdh24	0.0857142857142857	0	0	0	0	0	0	0	0	0	0.1	0
Gm17606	0	0	0	0	0	0	0	0	0	0	0	0
Acin1	1.25714285714286	0.333333333333333	1	2	2	3	0	0	0	1	0.7	1
4930579G18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700123O20Rik	0.342857142857143	0	0	0	0	2	1	0	0	0	0.4	1
Gm29776	0	0	0	0	0	0	0	0	0	0	0	0
Cebpe	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a8	0	0	0	0	0	0	0	0	0	0	0	0
Rnf212b	0	0	0	0	0	0	0	0	0	0	0	0
Homez	0	0	0	0	0.5	0	0	0	0	0	0	0
Ppp1r3e	0	0	0	0	0	0	0	0	0	0	0	0
Bcl2l2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Gm20521	0	0	0	0	0	0	0	0	0	0	0	0
Pabpn1	0.514285714285714	0	0	0	1	2	1	0	1	0	0.1	0
Slc22a17	0	0	1	1	0	0	0	0	0	0	0.2	0
Efs	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Il25	0	0	0	0	0	0	0	0	0	0	0	0
Cmtm5	0	0	0	0	0	0	0	0	0	0	0	0
Gm49130	0	0	0	0	0	0	0	0	0	0	0	0
Myh6	1.68571428571429	0.333333333333333	1	0	1	1	0	0	0	0	0.7	1
Mhrt	0	0	0	0	0	0	0	0	0	0	0	0
Myh7	1.62857142857143	0.333333333333333	1.5	0	1.5	5	2	0	0	1	0.6	0
Gm29015	0	0	0	0	0	0	0	0	0	0	0	0
Gm17428	0	0	0	0	0	0	0	0	0	0	0	0
Gm31251	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Ngdn	0.228571428571429	0.333333333333333	0	0	0.5	0	0	0.5	0	0.5	0.1	1
Zfhx2os	0	0	0	0	0	0	0	0	0	0	0	0
Gm20687	0	0	0	0	0	0	0	0	0	0	0	0
Zfhx2	0	0	0	0	0	0	0	0	0	0	0	0
Thtpa	0	0	0	0	0	0	0	0	0	0	0	0
Ap1g2	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Jph4	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs2	0	0	0	0	0	0	0	0	0	0	0	0
Gm49022	0	0	0	0	0	0	0	0	0	0	0	0
Dhrs4	0.228571428571429	0.333333333333333	0.5	0	0	0	3	0	0	0	0.3	1
Carmil3	0	0	0	0	0	0	0	0	0	0	0	0
Cpne6	0	0	0	0	0	0	0	0	0	0	0	0
Nrl	0	0	0	0	0	0	0	0	0	0	0	0
Gm10876	0	0	0	0	0	0	0	0	0	0	0	0
Pck2	0.314285714285714	0	0	0	0	0	0	0.5	0	0.5	0.7	0
A730061H03Rik	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf11	0.228571428571429	0.333333333333333	0.5	1	0.5	0	0	0	0	0	0.1	0
Gm15932	0	0	0	0	0	0	0	0	0	0	0	0
Fitm1	0.0285714285714286	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Psme1	1.34285714285714	0.333333333333333	0.5	1	3.5	1	2	0	1	0.5	0.9	0
Emc9	0.142857142857143	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Psme2	0.942857142857143	0	0	0	1.5	2	1	0	0	1	0.8	0
Rnf31	0.114285714285714	0	0	0	0	0	0	0	0	0	0.1	0
Irf9	0.0857142857142857	0.333333333333333	0	0	0	0	0	0	0	0	0	0
Rec8	0	0	0	0	0	0	0	0	0	0	0	0
Ipo4	0.2	0	0	0	0	0	0	0	0	0	0.1	0
Gm49378	0	0	0	0	0	0	0	0	0	0	0	0
Tm9sf1	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
AC174678.1	0	0	0	0	0	0	0	0	0	0	0	0
Tssk4	0	0	0	0	0	0	0	0	0	0	0	0
Mdp1	0.285714285714286	1	0	0	0.5	1	0	0.5	0	0.5	0.5	0
Nedd8	3.65714285714286	2.33333333333333	3	0	3	5	7	1.5	2	1	2.3	4
Gmpr2	0.285714285714286	1	0	0	0	1	0	0	0	0	0.2	2
Tinf2	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Gm49067	0	0	0	0	0	0	0	0	0	0	0	0
Tgm1	0	0	0	0	0	0	0	0	0	0	0	0
Rabggta	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Dhrs1	0.371428571428571	0	0	0	0	0	0	0	0	1	0.2	0
Nop9	0.0571428571428571	0	0	0	0	0	0	0	0	0	0.1	0
Cideb	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Ltb4r2	0	0	0	0	0	0	0	0	0	0	0	0
Ltb4r1	0	0	0	0	0	0	0	0	0	0	0	0
Adcy4	0	0	0	0	0.5	0	0	0	0	0	0.1	0
Ripk3	0.114285714285714	0.333333333333333	0	0	0	0	0	0	0	0	0	3
Nfatc4	0.457142857142857	0.666666666666667	0.5	1	0	2	1	0	2	1	0	1
Nynrin	0.285714285714286	0	0.5	0	0	0	1	0	2	2	0	0
Gm26751	0	0	0	0	0	0	0	0	0	0	0	0
Cbln3	0	0	0	0	0	0	0	0	0	0	0	0
Khnyn	0.142857142857143	0	0.5	0	0	0	0	0	0	0.5	0.1	0
Sdr39u1	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0
Gm48925	0	0	0	0	0	0	0	0	0	0	0	0
Cma1	0	0	0	0	0	0	0	0	0	0	0	0
Cma2	0	0	0	0	0	0	0	0	0	0	0	0
Mcpt1	0	0	0	0	0	0	0	0	0	0	0	0
Mcpt9	0	0	0	0	0	0	0	0	0	0	0	0
Mcpt2	0	0	0	0	0	0	0	0	0	0	0	0
Mcpt4	0	0	0	0	0	0	0	0	0	0	0	0
Mcpt8	0	0	0	0	0	0	0	0	0	0	0	0
Ctsg	0	0	0	0	0	0	0	0	0	0	0	0
Gzme	0	0	0	0	0	0	0	0	0	0	0	0
Gzmd	0	0	0	0	0	0	0	0	0	0	0	0
Gzmg	0	0	0	0	0	0	0	0	0	0	0	0
Gzmn	0	0	0	0	0	0	0	0	0	0	0	0
Gm4022	0	0	0	0	0	0	0	0	0	0	0	0
Gzmf	0	0	0	0	0	0	0	0	0	0	0	0
Gzmc	0	0	0	0	0	0	0	0	0	0	0	0
Gzmb	0	0	0	0	0	0	0	0	0	0	0	0
Atp12a	0	0	0	0	0	0	0	0	0	0	0	0
Gm10873	0	0	0	0	0	0	0	0	0	0	0	0
Rnf17	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Cenpj	0	0	0	0	0	0	0	0	0	0	0	0
Parp4	0.142857142857143	0	0	0	0.5	0	0	0	0	0	0.2	0
Gm16573	0	0	0	0	0	0	0	0	0	0	0	0
Mphosph8	0.628571428571429	0	0	0	1	1	0	0	0	0	0.9	1
Gm16973	0	0	0	0	0	0	0	0	0	0	0	0
Pspc1	0.371428571428571	0.333333333333333	0	0	0.5	1	0	0	0	0	0.3	0
Zmym5	0.285714285714286	0	2	0	0	0	0	0	0	1.5	0.4	0
Zmym2	0.285714285714286	0	0.5	1	1	1	0	0	0	0	0.2	0
B020004C17Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gja3	0	0	0	0	0	0	0	0	0	0	0	0
Gjb2	0	0	0	0	0	0	0	0	0	0	0	0
Gm4491	0	0	0	0	0	0	0	0	0	0	0	0
Gjb6	0	0	0	0	0	0	0	0	0	0	0	0
Cryl1	0.0571428571428571	0	0	0	0	0	0	0.5	0	0	0	0
Ift88	0.114285714285714	0.333333333333333	0	0	0	0	1	0.5	0	0	0	0
Ift88os	0	0	0	0	0	0	0	0	0	0	0	0
Il17d	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt1	0.371428571428571	0.333333333333333	0.5	0	0	1	1	0	1	0.5	0.2	1
Xpo4	0.171428571428571	0.333333333333333	0	0	0	0	0	0.5	0	0	0	1
Gm49361	0	0	0	0	0	0	0	0	0	0	0	0
Lats2	0.171428571428571	0	0	0	0.5	0	0	0	0	0	0.2	0
Sap18	0.8	0.333333333333333	0	0	0.5	1	1	0.5	0	0.5	1	2
Ska3	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl57	1	1.33333333333333	0	0	0.5	5	0	0.5	1	0	0.5	1
Zdhhc20	0.428571428571429	0	0	0	0.5	3	0	0	1	0.5	0.2	0
Micu2	0.4	0	1	2	1	0	0	0	1	0.5	0	0
Fgf9	0	0	0	0	0	0	0	0	0	0	0	0
Gm33321	0	0	0	0	0	0	0	0	0	0	0	0
Gm48447	0	0	0	0	0	0	0	0	0	0	0	0
Gm33472	0	0	0	0	0	0	0	0	0	0	0	0
Gm41162	0	0	0	0	0	0	0	0	0	0	0	0
Gm48453	0	0	0	0	0	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0	0	0	0	0
Gm5142	0	0	0	0	0	0	0	0	0	0	0	0
Rcbtb1	0.0857142857142857	0	0	0	0.5	0	0	0	0	0	0.1	0
Gm6904	0	0	0	0	0	0	0	0	0	0	0	0
Phf11a	0	0	0	0	0	0	0	0	0	0	0	0
Phf11b	0	0	0	0	0	0	0	0	0	0	0	0
Phf11d	0.0857142857142857	0	0	0	0	1	0	0	0	0	0.3	0
Phf11c	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0
Setdb2	0.142857142857143	0	0	0	0	0	0	0	0	0	0	0
Cab39l	0.257142857142857	0.333333333333333	0	0	0	0	0	0.5	0	0	0.2	0
Cdadc1	0.342857142857143	0.333333333333333	0	0	0	0	0	0	0	0	0.1	0
Shisa2	0	0	0	0	0	0	0	0	0	0	0	0
Atp8a2	0	0	0	0	0	0	0	0	0	0	0	0
4930563I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
Nupl1	0	0	0	0	0	0	0	0	0	0	0	0
Gm49336	0.2	0	0	0	0	0	0	0.5	0	0.5	0	0
Mtmr6	0.171428571428571	0	0	0	0.5	1	0	0	0	0	0.1	0
Amer2	0.257142857142857	0.333333333333333	0	0	0.5	0	0	0	0	0	0	0
Gm29266	0	0	0	0	0	0	0	0	0	0	0	0
Spata13	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0
C1qtnf9	0	0	0	0	0	0	0	0	0	0	0	0
